,"SYMBOL 
",Sector Name
0,NIFTY BANK,NIFTY-BANK
1,BANKBARODA,NIFTY-BANK
2,PNB,NIFTY-BANK
3,HDFCBANK,NIFTY-BANK
4,IDFCFIRSTB,NIFTY-BANK
5,SBIN,NIFTY-BANK
6,FEDERALBNK,NIFTY-BANK
7,AUBANK,NIFTY-BANK
8,INDUSINDBK,NIFTY-BANK
9,ICICIBANK,NIFTY-BANK
10,BANDHANBNK,NIFTY-BANK
11,AXISBANK,NIFTY-BANK
12,KOTAKBANK,NIFTY-BANK
