,"SYMBOL 
",Sector Name
0,NIFTY AUTO,NIFTY-AUTO
1,ASHOKLEY,NIFTY-AUTO
2,SONACOMS,NIFTY-AUTO
3,MRF,NIFTY-AUTO
4,BOSCHLTD,NIFTY-AUTO
5,M&M,NIFTY-AUTO
6,TATAMOTORS,NIFTY-AUTO
7,MARUTI,NIFTY-AUTO
8,TVSMOTOR,NIFTY-AUTO
9,BAJAJ-AUTO,NIFTY-AUTO
10,EICHERMOT,NIFTY-AUTO
11,TIINDIA,NIFTY-AUTO
12,BALKRISIND,NIFTY-AUTO
13,BHARATFORG,NIFTY-AUTO
14,MOTHERSON,NIFTY-AUTO
15,HEROMOTOCO,NIFTY-AUTO
